station,lat,lon,k,G,z,d,Q,quality,method
HF1709,-74.549,-102.586,1.17,25.2,3.0,600.0,29.5,S1,Unconsolidated sediments
HF1710,-74.803,-102.344,1.17,55.0,3.5,1000.0,64.5,S2,Unconsolidated sediments
HF1711,-74.359,-104.747,1.17,55.8,3.8,1384.0,65.4,S3,Unconsolidated sediments
HF1712,-74.355,-104.757,1.17,51.0,3.8,1387.0,59.8,S3,Unconsolidated sediments
HF1714,-72.891,-104.099,1.17,92.1,0.7,490.0,108.1,S1,Unconsolidated sediments
HF1716,-74.417,-103.005,1.17,97.6,3.8,740.0,114.6,S1,Unconsolidated sediments
HF1717,-74.416,-103.001,1.17,54.0,4.9,740.0,63.3,S3,Unconsolidated sediments
HF1718,-74.415,-102.998,1.17,57.5,4.9,740.0,67.5,S3,Unconsolidated sediments
HF1719,-74.414,-102.995,1.17,57.4,4.9,737.0,67.4,S3,Unconsolidated sediments
HF1720,-74.413,-102.992,1.17,59.4,4.9,740.0,69.7,S3,Unconsolidated sediments
HF1721,-74.412,-102.988,1.17,57.7,4.9,735.0,67.7,S3,Unconsolidated sediments
HF1722,-74.416,-102.987,1.17,65.4,4.9,735.0,76.7,S3,Unconsolidated sediments
HF1723,-74.33,-104.822,1.17,62.1,4.9,1400.0,72.9,S3,Unconsolidated sediments
HF1724,-74.331,-104.82,1.17,57.5,4.9,1395.0,67.5,S3,Unconsolidated sediments
HF1725,-74.34,-104.799,1.17,49.4,4.9,1388.0,58.0,S3,Unconsolidated sediments
HF1726,-74.349,-104.721,1.17,51.4,4.9,1405.0,60.3,S3,Unconsolidated sediments
HF1727,-74.355,-104.76,1.17,54.1,4.9,1385.0,63.5,S3,Unconsolidated sediments
HF1728,-74.349,-104.737,1.17,51.2,4.9,1453.0,60.1,S3,Unconsolidated sediments
HF1729,-73.297,-112.33,1.17,8.6,3.7,483.0,10.1,S1,Unconsolidated sediments
HF1901,-64.9855,-57.7694,1.33,104.51127819548871,1.9,444.0,139.0,S1,Unconsolidated sediments
HF1902,-64.0627,-56.1563,1.33,93.98496240601503,5.8,405.0,125.0,S1,Unconsolidated sediments
HF1903,-64.0497,-56.1361,1.33,94.73684210526315,7.7,415.0,126.0,S1,Unconsolidated sediments
HF1904,-62.3226,-51.6758,1.05,81.9047619047619,7.7,3196.0,86.0,S3,Unconsolidated sediments
HF1905,-63.0627,-54.3495,0.86,87.20930232558139,7.7,445.0,75.0,S1,Unconsolidated sediments
HF1906,-63.0812,-54.3276,0.86,90.69767441860465,7.7,415.0,78.0,S1,Unconsolidated sediments
HF1908,-60.9289,-46.5618,0.66,62.12121212121212,7.6,327.0,41.0,S1,Unconsolidated sediments
