Index,Angle,Porosity,Surface_Area,Permeability_X
173,240,63.76953125,4329,8.152319
174,250,64.7857666,4305,8.844884
175,260,65.22369385,4293,8.867902
176,270,64.34631348,4200,9.294769
177,280,64.80102539,4338,9.897419
178,290,64.01977539,4357,9.905918
179,300,63.92211914,4344,9.575157
180,310,63.85955811,4207,9.6550865
181,320,63.722229,4284,9.558806
182,330,63.74053955,4326,9.802583
183,340,64.72625732,4303,9.698332
184,350,65.25268555,4288,10.030945
185,360,64.27612305,4206,9.755388
186,0,68.78967285,3790,11.266631
187,10,69.52514648,3867,11.243673
188,20,69.18640137,3899,11.77378
189,30,69.14825439,3907,13.205577
190,40,69.49768066,3739,14.265855
191,50,69.52362061,3746,14.285568
192,60,68.46923828,3833,13.407839
193,70,69.63348389,3878,13.71315
194,80,69.82269287,3801,14.047845
195,90,68.76373291,3814,14.917215
196,100,69.57702637,3850,13.520541
197,110,69.16503906,3899,12.802943
198,120,69.10705566,3908,12.76679
199,130,69.54040527,3749,12.417239
200,140,69.51599121,3749,11.888975
201,150,68.51654053,3827,12.134562
202,160,69.67926025,3878,10.833657
203,170,69.81964111,3793,11.238953
204,180,68.79272461,3811,11.106153
205,190,69.57092285,3848,11.081427
206,200,69.17877197,3895,11.724663
207,210,69.10858154,3894,13.2914
208,220,69.57397461,3732,14.290322
209,230,69.46563721,3742,14.332952
210,240,68.59741211,3836,13.393565
211,250,69.74639893,3856,13.680637
212,260,69.81658936,3787,13.998774
213,270,68.81866455,3787,14.912021
214,280,69.52362061,3864,13.436866
215,290,69.20471191,3895,12.884599
216,300,69.14978027,3893,13.062175
217,310,69.53125,3722,12.451709
218,320,69.4732666,3739,11.894973
219,330,68.55316162,3842,11.993303
220,340,69.69909668,3856,10.941978
221,350,69.82269287,3795,11.33691
222,360,68.78967285,3790,11.266631
223,0,55.67474365,4314,7.0069866
224,10,56.34460449,4544,6.88253
225,20,56.89544678,4384,7.2230477
226,30,56.1920166,4390,8.534649
227,40,56.89086914,4265,8.558726
228,50,55.9387207,4243,7.7110815
229,60,56.74133301,4286,7.535231
230,70,57.71789551,4316,7.5434847
231,80,57.26928711,4375,6.8039827
232,90,55.62591553,4336,6.9967966
233,100,56.3949585,4535,6.2070155
234,110,56.9152832,4387,6.301545
235,120,56.11572266,4399,5.921792
236,130,56.9519043,4283,5.7468004
237,140,56.0256958,4236,5.6721687
238,150,56.80084229,4287,5.7200675
239,160,57.6385498,4324,7.5521007
240,170,57.37762451,4377,7.4535713
241,180,55.69152832,4354,6.8436675
242,190,56.37207031,4525,6.734443
243,200,56.86187744,4404,7.038017
244,210,56.12792969,4394,8.525947
245,220,56.95343018,4275,8.403907
246,230,55.96313477,4241,7.6697884
247,240,56.76574707,4294,7.4668407
248,250,57.62176514,4324,7.4382544
249,260,57.36694336,4390,6.756842
250,270,55.74035645,4332,6.913679
251,280,56.31866455,4535,6.1426144
252,290,56.84509277,4401,6.241926
253,300,56.20574951,4385,5.826958
254,310,56.8939209,4257,5.7281814
255,320,55.87310791,4245,5.6444116
256,330,56.70776367,4293,5.5456433
257,340,57.69805908,4316,7.535608
258,350,57.26318359,4386,7.3370337
259,360,55.67474365,4314,7.0069866
260,0,59.87243652,3868,9.878706
261,10,60.22033691,3963,9.393844
262,20,60.26763916,4051,8.775439
263,30,59.19647217,4093,8.481504
264,40,60.18981934,3941,8.613606
265,50,59.95941162,3894,8.45705
266,60,59.68170166,3945,8.314631
267,70,60.81390381,3934,8.9478
268,80,60.79101563,3998,9.864814
269,90,59.78851318,3880,10.4568615
270,100,60.31188965,3964,9.116805
271,110,60.1852417,4043,9.169219
272,120,59.11407471,4097,9.010955
273,130,60.21270752,3961,9.174851
274,140,60.0402832,3914,8.113756
275,150,59.75189209,3939,8.598746
276,160,60.62774658,3951,8.133551
277,170,60.78796387,4010,9.798462
278,180,59.78088379,3898,9.829292
279,190,60.26000977,3959,9.408626
280,200,60.12420654,4045,8.843557
281,210,59.09729004,4098,8.519401
282,220,60.26611328,3950,8.629751
283,230,59.97467041,3918,8.532812
284,240,59.76867676,3937,8.40149
285,250,60.70251465,3948,8.904236
286,260,60.81085205,4012,9.813218
287,270,59.86328125,3886,10.336127
288,280,60.16693115,3959,9.058603
289,290,60.206604,4053,9.208977
290,300,59.1796875,4094,8.991312
291,310,60.2432251,3930,9.195199
292,320,59.89227295,3898,8.143406
293,330,59.70001221,3943,8.754864
294,340,60.887146,3931,8.277418
295,350,60.82000732,3998,9.737613
296,360,59.87243652,3868,9.878706
297,0,65.2923584,3488,14.750353
298,10,65.95458984,3572,14.3965225
299,20,66.31317139,3575,14.060077
300,30,65.46478271,3554,13.820134
301,40,65.58227539,3512,13.922169
302,50,64.98260498,3515,13.184327
303,60,64.81170654,3601,12.670501
304,70,65.39611816,3586,12.651111
305,80,65.57922363,3632,14.081573
306,90,65.21453857,3498,14.653179
307,100,66.0446167,3570,14.217059
308,110,66.24145508,3569,14.183701
309,120,65.40527344,3557,13.924952
310,130,65.61279297,3529,13.601892
311,140,65.01617432,3526,12.957195
312,150,64.87121582,3585,13.097529
313,160,65.26641846,3606,12.742572
314,170,65.60974121,3662,14.213777
315,180,65.28015137,3512,14.684101
316,190,66.04156494,3563,14.348604
317,200,66.2109375,3574,13.997328
318,210,65.43731689,3554,14.011037
319,220,65.625,3520,13.884768
320,230,64.92767334,3531,13.275598
321,240,64.83306885,3594,12.798047
322,250,65.3503418,3604,12.652936
323,260,65.59448242,3681,13.976498
324,270,65.35644531,3502,14.540106
325,280,65.95306396,3565,14.203795
326,290,66.28417969,3580,14.325935
327,300,65.49682617,3551,14.055152
328,310,65.59448242,3503,13.7074795
329,320,64.89105225,3520,12.931516
330,330,64.77508545,3610,13.108067
331,340,65.48156738,3584,12.810752
332,350,65.56396484,3649,14.198315
333,360,65.2923584,3488,14.750353
334,0,56.23016357,3275,8.313983
335,10,55.1940918,3409,8.337171
336,20,54.4708252,3419,10.671315
337,30,54.97436523,3413,11.209427
338,40,55.22613525,3407,13.1912155
339,50,55.06591797,3425,14.150846
340,60,53.41033936,3460,14.14397
341,70,54.6081543,3447,10.646769
342,80,55.39855957,3406,10.467281
343,90,56.29730225,3286,10.772431
344,100,55.15594482,3406,10.8077545
345,110,54.5135498,3422,10.6029
346,120,54.98504639,3418,10.498995
347,130,55.21392822,3409,7.7600174
348,140,54.96063232,3437,8.019804
349,150,53.47900391,3476,7.6942368
350,160,54.61273193,3475,8.176293
351,170,55.34362793,3410,7.9682994
352,180,56.16912842,3295,8.443832
353,190,55.08422852,3413,8.489297
354,200,54.54711914,3431,10.709093
355,210,54.98352051,3401,11.148867
356,220,55.27648926,3425,13.128042
357,230,54.92858887,3437,14.034812
358,240,53.37677002,3480,14.041541
359,250,54.52575684,3481,10.491113
360,260,55.2947998,3412,10.330845
361,270,56.09893799,3284,10.615652
362,280,55.12542725,3416,10.7286005
363,290,54.49829102,3427,10.378299
364,300,54.97283936,3396,10.558178
365,310,55.29022217,3422,7.6796284
366,320,55.03387451,3425,7.787407
367,330,53.30657959,3464,7.44415
368,340,54.51812744,3453,8.0165825
369,350,55.3527832,3408,7.875466
370,360,56.23016357,3275,8.313983
371,0,55.77697754,3246,8.031104
372,10,53.94287109,3474,7.8393216
373,20,53.39355469,3440,8.739311
374,30,53.74450684,3502,8.437676
375,40,54.69665527,3437,9.715124
376,50,54.97283936,3367,13.207304
377,60,53.48358154,3342,13.689502
378,70,54.90570068,3299,14.274846
379,80,55.97839355,3337,15.129414
380,90,55.86547852,3231,15.180835
381,100,53.96270752,3465,15.593758
382,110,53.45306396,3443,14.39929
383,120,53.75518799,3507,13.912998
384,130,54.63104248,3442,9.923112
385,140,54.9118042,3378,9.097963
386,150,53.63922119,3354,8.585486
387,160,54.8614502,3318,8.777012
388,170,55.87615967,3341,8.409699
389,180,55.70373535,3242,8.1674595
390,190,53.91235352,3468,7.996131
391,200,53.53240967,3456,8.867807
392,210,53.71551514,3491,8.505875
393,220,54.64172363,3460,10.042852
394,230,54.86907959,3377,13.296697
395,240,53.53088379,3356,13.813879
396,250,54.77142334,3322,14.505931
397,260,55.80291748,3344,15.260121
398,270,55.61523438,3257,15.19302
399,280,53.89556885,3477,15.828473
400,290,53.46832275,3452,14.281099
401,300,53.70483398,3486,14.252202
402,310,54.70733643,3454,10.138977
403,320,54.93164063,3366,8.9750185
404,330,53.37371826,3344,8.35193
405,340,54.81262207,3303,8.622952
406,350,55.909729,3341,8.32417
407,360,55.77697754,3246,8.031104
408,0,62.57781982,2992,17.536953
409,10,62.15820313,3058,17.468512
410,20,61.69891357,3052,16.26892
411,30,61.05957031,3110,14.628269
412,40,60.82611084,3042,17.688921
413,50,59.5703125,3100,18.377697
