P,eta,etaP,Vs,d,r0,K,cp,alpha,rho,Tv-T0,Lv,Tl-T0,Lm,e,Ke,e*
521.802,0.61,316.76,1,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000308699,18.12652002,6.498926316
209.302,0.36,76.35,1.1,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,7.94804E-05,4.165563122,1.673271579
312.5,0.47,145.88,1.1,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000145472,7.95947084,3.062568421
418.605,0.54,225.82,1.1,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000231457,12.32096526,4.872778947
521.802,0.59,306.99,1.1,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000283699,16.74982222,5.972610526
156.977,0.28,43.65,1.2,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,3.46112E-05,2.2800192,0.728656842
209.302,0.34,71.91,1.2,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,7.82304E-05,3.756298029,1.646955789
260.174,0.40,103.41,1.2,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,9.56032E-05,5.40220823,2.012698947
313.953,0.45,139.91,1.2,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000135469,7.308766883,2.851978947
364.826,0.48,176.62,1.2,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000161592,9.226468564,3.401936842
469.477,0.55,256.31,1.2,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.00021633,13.38942191,4.554315789
520.349,0.57,296.22,1.2,0.000095,0.0000475,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,0.000271203,15.47377306,5.709536842
129.36,0.31,39.66,0.4,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,2.34266E-05,2.005814929,0.334665714
154.07,0.35,53.55,0.4,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,2.71148E-05,2.708471753,0.387354286
168.605,0.37,62.33,0.4,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,2.95785E-05,3.152388496,0.42255
180.233,0.39,69.63,0.4,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,5.20494E-05,3.521780256,0.743562857
194.767,0.41,79.08,0.4,0.00014,0.00007,33.4,830,1.02656E-05,3920,3267,9255000,1630,286000,5.20131E-05,3.999455783,0.743044286
